job,company,city,salary,work_experience,age,education,work_type,contract,email,phone_number,job_descr,links,posted_date,deadline
Satış Məsləhətçisi (Quba),Kontakt Home,Quba,Müsahibə əsasında,,18 — 65,Fərq etmir,Növbəli,Əmək müqaviləsi,Linkə daxil olun.,,"Daxil olmaq üçün link:https://qlor.me/m5xs0w630jTəsvirŞirkət tərəfindən göndərilən məhsulların qəbul edilməsi, yoxlanılması, müvafiq olaraq yerləşdirilməsi;Satışla bağlı müxtəlif qayda və prosedurlar, o cümlədən kampaniyalar haqqında məlumatın vaxtında öyrənilməsi və tədbiq edilməsi;Müştərilərin mağazada qarşılanması, onların tələbatının öyrənilməsi, məhsullar haqqında ətraflı və doğru məlumatın verilməsi;Müştərinin tələbatına uyğun olaraq müştəriyə düzgün seçim etməkdə köməklik göstərilməsi;Mağaza direktorunun tapşırıqlarının vaxtında və tələb olunan qaydada yerinə yetirilməsi.İş şəraiti:İş qrafiki: Növbəli;Şirkət məhsullarını endirimlə əldə etmək imkanı;Şirkət daxili təlim və inkişaf imkanları;Karyera yüksəlişi imkanı;Satış sahəsində nailiyyətlərə görə bonus və mükafatlar.TələblərAzərbaycan dilini səlis, rus dili arzu olunandır;Satış təcrübəsi arzu olunandır;Aktiv, çevik, ünsiyyətcil və məsuliyyətli;Satış qabiliyyəti.Uyğun başlıqlarSatış təmsilçisi",https://www.offer.az/satis-meslehetcisi-382-vakansiya-2025-60664/,15/01/2025,16/02/2025
Kreditor,Kontakt Home,Salyan,Müsahibə əsasında,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"Lİnk:https://qlor.me/m5xszjijvlTəsvirMüştərilərə kredit məhsulları haqqında məlumatın verilməsi;Kredit müraciətlərinin qəbul və analiz edilməsi;Müştəri hesablarının aparılmasına dair xidmətlərin göstərilməsi;Daxil olan müraciətlərin vaxtında icra olunması və müvafiq sənədlərin tərtib olunması;Hissəvi satış müqaviləsinin şərtləri barədə müştərilərə məlumatın verilməsi;Müştəri və müqavilə məlumatlarının əməliyyat proqramına daxil edilməsi;Kredit portfelinə nəzarətin həyata keçirilməsi;Verilmiş kreditlərə dair xidmətlər və onların monitorinqinin aparılması.İş şəraiti:İş qrafiki: növbəliRəqabət qabiliyyətli əmək haqqı.TələblərAli təhsil;Müvafiq sahə üzrə 1 il iş təcrübəsi (mütləqdir);Səlis Azərbaycan dili biliyi, Rus dili biliyi üstünlükdür;Kompüter bilikləri (MS Office, Mikro ERP və 1C proqramları ilə işləmə bacarığı);Analitik zəka, müştərilərlə işləmək qabiliyyəti;Riyazi hesablama aparmaq qabiliyyəti;Ünsiyyətcillik, təşəbbüskarlıq;Komandada işləmək bacarığı;Mükəmməl kommunikasiya qabiliyyəti;İşdə dəqiqlik və detallara fikir vermə qabiliyyəti.Uyğun başlıqlarERPKreditkreditorMicrosoft Office",https://www.offer.az/kreditor-16-vakansiya-2025-60663/,15/01/2025,15/02/2025
Sumqayıt KOB ofisi və Rəqəmsal filialının Kiçik və Orta Biznes Kreditləri Şöbəsində Satış üzrə Menecer,ATB Bank,Sumqayıt,Müsahibə əsasında,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"TəsvirBanka Sumqayıt regionu üzrə KOB seqmentinə aid yeni müştərilərin cəlb edilməsi işinin təşkil edilməsi, müxtəlif növ biznes nümayəndələri ilə görüşlər keçirilməsi;Kiçik və Orta Biznes kreditləri üzrə müəyyən edilmiş aylıq satış planlarının icrasının təmin edilməsi məqsədi ilə tabeçiliyində olan satış üzrə əməkdaşlara istiqamət verilməsi;Bankın yeni məhsul və xidmətləri barədə Sumqayıt regionu üzrə Kiçik və Orta Biznes seqmentinə aid müştəriləri tabeçiliyində olan satış üzrə əməkdaşlar vasitəsi ilə məlumatlandırılmasının təşkil edilməsi;Bank üzrə məhsul və xidmətlərin satışı üzrə hədəflərə nail olmaq məqsədilə əlaqədar struktur bölmələrlə birlikdə müvafiq tədbirlər planının hazırlanmasında iştirak edilməsi;KOB seqmentinə aid müştərilərin təhlil edilməsi üçün əməkdaşların hazırlanmasında iştirak edilməsi;TələblərAli təhsil (maliyyə, iqtisadiyyat, bankçılıq və s. əlaqəli ixtisaslar);Vəzifəyə uyğun olaraq müvafiq sahədə iş təcrübəsi;Səlis Azərbaycan dili biliyi, xarici dil biliyi arzuolunandır;MS Office proqramlarından istifadə etmək bacarığı;Analitik düşünmə qabiliyyəti;Müştərilərlə yüksək ünsiyyət qurmaq bacarığı;Təhlil və qərar vermə bacarıqları;Qeyri-standart vəziyyətlərdə stresə davamlılıq qabiliyyəti;Müxtəlif satış kanalları ilə işləmə bacarıqları;Öyrənmə və öyrətmə bacarıqları;Komanda formalaşdırmaq bacarıqları;Komanda şəklində işləmək bacarıqları;Liderlik bacarıqları;Motivasiya və komanda ruhunu formalaşdırmaq bacarıqları;Sumqayıt şəhəri üzrə iş fəaliyyəti göstərmə imkanı.https://qlor.me/m5xmcn5t08Uyğun başlıqlarBankKreditMaliyyə",https://www.offer.az/orta-biznes-kreditleri-atb-bank-vakansiya-2025-60662/,15/01/2025,15/02/2025
İnsan resursları üzrə kiçik mütəxəssis (Şirvan),Hajigabul Poultry Farm Company,"Hacıqabul,Şirvan",Müsahibə əsasında,1 il,20 — 30,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,haciqabulqusculuq.hr@gmail.com,051 233 29 07,"İş yeri: Hacıqabul Quşçuluq şirkəti ( Şirvan şəhəri üzrə)Vəzifə üzrə tələblər:Ali təhsil (insan resursları, menecment, hüquq və ya sosial psixologiya sahələrində olması arzuolunandır)İnsan resursları sahəsində nəzəri biliklərƏmək qanunvericiliyi üzrə biliklərMicrosoft office programlarından sərbəst istifadə bacarığıİR sahəsində iş təcrübəsinin olması arzuolunandırVəzifə öhdəlikləri:İşə qəbul üçün müraciət edən namizədlərin müraciətlərinin təhlil edilməsiMüsahibələrin təşkil edilməsiİR rəhbərliyi tərəfindən tapşırılan digər işlərin icrasıİş şəraiti:6 günlük iş rejimi (08:00 – 17:00)Həftədə bir gün istirahətNahar şirkət tərəfindən təmin edilirHacıqabul və Şirvan şəhər mərkəzlərinə servis xidməti fəaliyyət göstərirƏmək haqqı müsahibə əsnasında razılaşma yolu ilə müəyyən ediləcəkdirUyğun başlıqlarHRİnsan resursları",https://www.offer.az/insan-resurslari-uzre-mutexessis-29-vakansiya-2025-60659/,15/01/2025,16/02/2025
Mühafizə,AzəriMed QSC,Bakı,550₼,1 il,21 — 30,Fərq etmir,Növbəli,Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m5xfz7nrfeVəzifə öhdəlikləri:· Nəzarət-buraxılış sisteminin müvafiq qaydada həyata keçirilməsini təmin etmək;· Ofis və depo ətrafı əraziləri nəzarət altında saxlamaq;· Daxili təhlükəsizlik qaydalarına əməl olunmasına nəzarət etmək.İş şəraiti:·İş qrafiki:Növbəli iş qrafiki·Əmək haqqı:550 AZN gross (artandır)·Ünvan 1:Nərimanov rayonu, Asif Məmmədov 30·Ünvan 2:Bakı dairəvi yol, Meyvəli bazarın yanıUyğun başlıqlarMühafizənövbətçi",https://www.offer.az/muhafize-27-vakansiya-2025-60658/,15/01/2025,16/02/2025
Baş mühasib,ASADZADESANAN MMC,Bakı,1500 — 2000 ₼,5 il,30 — 40,Fərq etmir,Tam iş günü (6 gün),Əmək müqaviləsi,hr@asadzadesanan.az,,"Baş Mühasib (Restoran sahəsi üçün):Namizədə olan tələblər:Təhsil: Ali iqtisadi təhsil (Maliyyə, Mühasibat uçotu və İqtisadi təhsil sahələrdə bakalavr dərəcəsi);İş təcrübəsi: Restoran sahə üzrə 5 ildən az olmayaraq iş stajı;Dil bilikləri: Azərbaycan dilində mükəmməl danışıq, Rus və ingilis dili üstünlükdürKompüter bacarıqları: MS Office proqramlarını (yüksək səiyyədə EXCEL bilikləri) və İİKO proqramını yüksək səviyyədə bilməli;Vergi məcəlləsi, Əmək məcəlləsi, Mülki Məcəllə və digər qanunlar və qanunvericilik aktları üzrə biliklərBütün növ elektron vergi və dövlət portalları ilə işləmə təcrübəsiPMS sertifikatının olması arzuolunandırYaş həddi; 30-40İş haqqında məlumat:Maliyyə-təsərrüfat fəaliyyətinin mühasibat uçotunu təşkil etmək;Təsərrüfat əməliyyatlarının mühasibat uçotu hesablarında (həmçinin mühasibat uçotu registrlərində) düzgün əks etdirilməsi, ona nəzarət, operativ məlumatların təqdim edilməsi, mühasibat (maliyyə) hesabatlarının müəyyən edilmiş müddətlərdə tərtib və təqdim etmək;Əsas vəsaitlərin, maddi-əmtəə sərvətlərinin və pul vəsaitlərinin hərəkəti ilə bağlı əməliyyatların mühasibat uçotu hesablarında vaxtında əks etdirilməsinə nəzarət etmək;Vergi orqanlarına qanunvericiliklə müəyyən edilmiş hallarda və qaydada vergi hesabatlarını (ƏDV, ÖMV, əmlak, statistik hesabat, mənfəət vergisi hesabatı) təqdim etmək;Şirkətin bank hesabları üzrə aparılan maliyyə və hesablama əməliyyatların operativ uçotunun aparılmasını təmin etmək;Müqavilələr əsasında alınan malların və xidmətlərin dəyərinin vaxtında ödənilməsini təmin etmək;Şirkətin maliyyə vəziyyəti, daxil olan pul vəsaitləri, keçirilən maliyyə əməliyyatları və debitorlar barədə məlumatları hazırlayıb rəhbərliyə təqdim etmək;Müştəri və biznes üzrə digər partnyorlara hesabları təqdim etmək, qarşılıqlı hesabları tutuşdurmaq;Xəzinə, təsərrüfat və bank əməliyyatların, əsas vəsaitlərin və öhdəliklərin, qeyri-material aktivlərin, az dəyərli əşyaların, material ehtiyatların və hesab-fakturaların uçotunu aparmaq;Dövlət büdcəsinə məcburi ödəmələri, dövlət sosial sığorta fonduna ayırmaları, digər ayırmaları tərtib və nəzarətini təmin etmək.Sayımların yerli yerində olması.Restoranın barı və digər yerlərinin sayımına düzgün nəzarət etməkİş şəraiti:Korporativ nömrə;Əmək haqqı-1500-2000Vakansiyaya müraciət üçün CV-ləri “Baş Mühasib (Restoran sahəsi üçün)” başlığı iləhr@asadzadesanan.aze-mail ünvanına göndərməyiniz xahiş olunur.Uyğun başlıqlarBaş mühasibMühasibMühasibat",https://www.offer.az/bas-muhasib-319-vakansiya-2025-60657/,15/01/2025,22/02/2025
Satıcı,Grabstar,Bakı,550 — 600 ₼,,21 — 45,Orta və ya orta ixtisas təhsili,Tam iş günü (6 gün),Əmək müqaviləsi,garanfil.suleyman@mapletrading.az,010-2251245,"Əsas vəzifə və öhdəliklər:Mağazada kifayət qədər miqdarda çeşidin olmasına nəzarət etmək və lazım gələrsə onu doldurmaq.Mağaza tərəfindən malların qəbulunda köməklik etmək.Satış üçün malların (şirniyyat və qənnadı məhsullar,içkilər) hazırlanması.Malların qiymət etiketlərinə və saxlama müddətinə nəzarət etmək.Mağazaya gələn müştəriləri səmimi, gülərüzlə və peşəkar şəkildə qarşılamaqİş haqqında məlumat:Növbə dəyişən olur1ci növbə : 07:00-dan – 15:00-dək2ci növbə : 14:00-dan – 22:00-dək (Həftədə 1 gün qısa iş günü (5 saat))İstirahət günü: həftədə 1 günƏməkhaqqı aralığı: 550 – 600 AZNUyğun başlıqlarSatıcıSatışsatış üzrə məsləhətçi",https://www.offer.az/satici-502-vakansiya-2025-60656/,15/01/2025,16/02/2025
Satış Mütəxəssisi,Çinici,Bakı,600 — 1100 ₼,1 il,21 — 36,Orta və ya orta ixtisas təhsili,Tam iş günü (6 gün),Əmək müqaviləsi,cv@cinici.az,5105883,"İşəgötürən: Çinici, Bata, Fargo mağazalarİş haqqında məlumat:Şəhərin ən böyük və nüfuzlu mağazalarından birində (Çinici, Fargo və Bata) işləmə imkanı– Müştəri xidmətinin yüksək səviyyədə təmin edilməsi– Hər-hansı bir məhsulun seçilməsində müştərilərə kömək– Müştərinin məhsulun brendi haqda tanıtım– İş saatları qrafikdən asılı olaraq dəyişilir (saat 10:00 – 21:00, 10:00 – 18:00, 13:00 – 21:00)– Əmək haqqı və şəxsən satdıqı məhsullardan % (aylıq olaraq)– Məzuniyyət şirkət tərəfindən ödənilir– Rəsmi qeydiyyat– Karyera perspektivləri və yuksəliş moda sənayəsində– Nahar şirkət tərəfindən ödənilirNamizəddən tələblər:-Ünsiyyətcil– Aktiv– Müştərilərlə ünsiyyət qurmaq bacarığı– Kolektivdə işləmə bacarığı– İşdə dəqiqlik– MəsuliyyətliVakansiya ilə maraqlanan şəxslər: CV-lərinizi göstərilən e-mail ünvana göndərə bilərsiniz.Məktubun mövzusunda hansı iş üçün müraciət etdiyinizi qeyd etməyiniz xahiş olunur.Uyğun başlıqlarSatış",https://www.offer.az/satis-mutexessisi-59-vakansiya-2025-60655/,15/01/2025,15/02/2025
Sürücü,Başak Group,Bakı,700 — 800 ₼,5 il,30 — 38,Orta və ya orta ixtisas təhsili,Tam iş günü (5 gün),Əmək müqaviləsi,hr@bashakgroup.az,,"Namizəddə tələblər:30-40 yaş aralığında olan kişi namizədlər;Müvafiq sahədə azı 5 il təcrübə;Məsuliyyətli, intizamlı, gərgin iş şəraitində işləmək bacarığı;Səliqəli görünüş, düzgün danışıq qabiliyyəti;Vəzifə öhdəlikləri:Sifariş olunan malları qaimə-faktura əsasında anbardan təhvil alıb, sifarişi qeyd olunan ünvanda yerləşən ticarət nöqtələrinə vaxtında çatdırmaq;Avtomobili texniki saz vəziyyətdə saxlamaq, vaxtında servis mərkəzində texnoloji təchizatını təmin etmək və texniki baxışdan keçirmək;Məhsulların təyinat yerinə rahat və təhlükəsiz çatdırılmasını təmin etmək;Şirkət tərəfindən təhkim olunmuş avtomobili təmiz və səliqəli saxlanılmasına nəzarət etmək;Yol hərəkəti qaydalarına riayət etmək;Rəhbərlik tərəfindən verilən tapşırıqların vaxtında yerinə yetirilməsi;İş şəraitiƏmək haqqı: 700 AZN – 800 AZN;İş vaxtı: Həftə içi 5 gün 09:00–dan 18:00 dək; şənbə yarı iş rejimi,Nahar şirkət tərəfindən qarşılanır;Korporativ nömrə,korporativ paket;Ünvan: Dərnəgül şossesi, Ziya Bünyadov pr 3105.Tələblərə uyğun şəxslər CV-lərinihr@bashakgroup.azelektron poçt ünvanına mövzu hissəsinə“Sürücü ”yazaraq göndərə bilərlər.Uyğun başlıqlarNəqliyyatSürücüSürücülük vəsiqəsi",https://www.offer.az/surucu-452-vakansiya-2025-60654/,15/01/2025,16/02/2025
SMM mütəxəssisi,Embawood,Bakı,Müsahibə əsasında,3 il,24 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m5whgfczuqTəsvirSosial şəbəkə hesablarının idarə olunmasıSosial media üçün həftəlik post planının hazırlanmasıPostlar üçün şəkillərin şəkilməsi, üzərində işlənməsi və paylaşılmasıKütləvi informasiya və reklam vasitələri ilə əlaqələrin yaradılması;6 günlük / 10:00 – 18:00TələblərAli təhsilQrafik proqramlarını bilməliMüvafiq sahə üzrə ən azı 3 il iş təcrübəsiStessə davamlılıqUyğun başlıqlarQrafik dizaynerSMMSMM Menecer",https://www.offer.az/smm-mutexessisi-16-vakansiya-2025-60653/,15/01/2025,16/02/2025
Satış təmsilçisi,AZ Dizayn Group,Bakı,600₼,1 il,20 — 35,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,hr@az-dizayn.az,,"Satış təmsilçisi:Namizədə olan tələblər:Orta təhsil (Bakalavr üstünlükdür)Ünsiyyət qabiliyyətMəsuliyyətlilikTəqdim etmə bacarığıDanışıq aparma bacarığı,SəbirlilikHesablama bacarığıYaş – 20-35Hovuz məhsulları satışı üzrə təcrübəİş haqqında məlumat:Müştərinin qarşılanması, məhsullarla bağlı məlumatlandırılmasıMüştərinin istədiyi dizayna uyğun ölçülərlə qiymətin hesablanmasıMüştərinin çertyojuna uyğun interyer dizaynerə məlumatların verilməsiHazırlanmış dizaynın müştəriyə göndərilməsiMüştəri məhsulu bəyəndikdən sonra sifarişin qəbul olunmasıSifarişin sistemə daxil edilməsiQaimənin hazırlanması və müştəriyə təqdim edilməsiMüştəri xüsusi endirim istəyərsə bu barədə rəhbərliyin məlumatlandırılması və qiymətin razılaşdırılmasıMəhsul satılarkən müştəridən beh alınması və sifarişin götürülməsiSifariş qəbul olunduqdan sonra mağaza meneceri (Olmadıqda özü) vasitəsilə anbara məlumat verilməsiSifariş müştəriyə çatana qədər prosesin izlənməzi və müştərinin məlumatlandırılmasıGeriqayıdan məhsul olduqda anbarın məlumatlandırılması (Mağaza meneceri vasitəsilə) və anbara yönləndirilməsiÖdənişlər barədə rəhbərin mütəmadi məlumatlandırılmasıGələn məhsulların mağaza daxilində təyin olunmuş əraziyə yerləşdirilməsiMəhsulların üzərinə qiymət və endirim kağızlarının yerləşdirilməsi və yenilənməsiİş şəraiti:6 günlük iş həftəsi ;Əmək Məcəlləsinə əsasən sənədləşmə;Əmək haqqı müsahibə əsasında təyin olunacaq.Vakansiyaya müraciət üçün CV-ləri “Satış təmsilçisi” başlığı iləhr@az-dizayn.aze-mail ünvanına göndərməyiniz xahiş olunur.Uyğun başlıqlarMicrosoft OfficeSatışSatış təmsilçisi",https://www.offer.az/satis-temsilcisi-202-vakansiya-2025-60652/,15/01/2025,16/02/2025
Mağaza Meneceri,Super Toys,Bakı,800₼,1 il,30 — 46,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,hr@supertoys.az,,"Vəzifə öhdəlikləri:Mağazalarda çalışan personalı idarə etmək: işçiləri təlimatlandırmaq və yönləndirmək, onları motivasiya etmək, gündəlik iş prosesinə və işçilərin davamiyyətinə nəzarət etmək;Mağazaya təyin edilən hədəfə çatmaq;Şirkətin xidmət səviyyəsinin və müştəri məmnuniyyətinin artırılması istiqamətində tədbir planı hazırlamaq;Satış analizlərini aparmaqla kateqoriya şöbəsinə dəstək vermək: satılan və satılmayan məhsulları araşdırmaq, mağaza tələblərini araşdırıb müəyyən etmək, işin təkmilləşməsi istiqamətində təkliflər vermək;Satışları artırmaq məqsədi ilə Marketinq tərəfindən həyata keçirilən layihələri dəstəkləmək və təkliflər vermək;Namizədə Tələblər:İdarəetmə qabiliyyəti (Təşkilatçılıq və təşəbbüskarlıq);Retail sektorda mağaza meneceri kimi ( idarəetmədə ) minimum 1 il iş təcrübəsi mütləqdir;Satış texnikası, idarəçilik qabiliyyəti;30-45 yaş arası xanımlar;Əmək haqqı : 800 Azn+bonusQeyd:Namizədlərdən mövzu hissəsində “Mağaza meneceri” vakansiya adını göstərməklə öz cv-lərinihr@supertoys.azelektron poçt ünvanına göndərmələrini xahiş edirikUyğun başlıqlarMağaza meneceri",https://www.offer.az/magaza-meneceri-75-vakansiya-2025-60651/,15/01/2025,15/02/2025
1C Operator,Pro Con İzo MMC,Bakı,700 — 800 ₼,1 il,22 — 35,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,hr.department@main.az,,"İş barədə məlumat:Əməliyyatlarının 1C 8.3 proqramına daxil edilməsi;Daxil edilmiş məlumatların mühasibat hesablarına düzgün daxil olunmasının yoxlanılması;Mal hərəkətinin 1C proqramında düzgünlüyünə nəzarət etmək;Anbar sənədlərinin yoxlanışı, üzləşmə, anbar qalıqlarına nəzarət edilməsi;İdxal olunan malların maya dəyərini hesablamaq və sistemə daxil etmək;Kassa və Bank əməliyyatlarının işlənməsi;Satış sənədlərində məlumatların düzgünlüyünü yoxlamaq;Debitor və kreditor borc üzrə hesabatların hazırlanması.Namizədə tələblərYaş həddi 22-35Təhsil: Aliİş təcrübəsi: 1 ilMS Office, 1C 8.3 mühasibatlıq proqramından istifadə bacarıqlarıMəsuliyyətli və dəqiq olmaqİş şəraiti:İş qrafiki: 6 günlük; (Şənbə: 09:00-dan – 13:00 -dək)İstirahət günləri- Bazar;Nahar vaxtı 13:00-14:00;Əmək haqqı: 700 -800 aznÜnvan: N.Nərimanov ray., A.Aqarunov 3-9Vakansiya ilə maraqlanan namizədlər öz müraciət anketlərini (CV) hr.department@main.azelektron ünvanına mövzu hissəsində “1C operator” qeyd etməklə göndərə bilərlər.Uyğun başlıqlar1C Operator",https://www.offer.az/1c-operator-67-vakansiya-2025-60650/,15/01/2025,15/02/2025
Satınalmalar üzrə kiçik mütəxəssis,Maple Trading şirkəti,Bakı,500₼,1 il,21 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,hr@mapletrading.az,,"İş barədə məlumat:Satınalma işlərinin təşkili;Satınalma sifarişlərinin qəbulu və icra edilməsi;Bazar araşdırmalarının aparılması, yeni tədarükçülərin tapılması və satınalınması tələb olunan məhsulun bazarda ən münasib qiymətə və ən uyğun keyfiyyətdə əldə olunmasının təmin edilməsi;Tender üçün və ya qiymətin müəyyən olunması üçün qiymət sorğularının keçirilməsi;Ən uyğun tədarükçünün seçilməsi və qiymətləndirilməsi üçün rəhbərinə sadə müqayisə cədvəllərinin (Bids Summary) təqdim edilməsi;Müqavilə şərtləri üzrə öhdəliklərin vaxtında icra edilməsinə nəzarət edilməsi;Tədarükçülərlə müqavilələrin bağlanması və müqavilə şərtlərinin müəyyən edilməsində iştirak edilməsi.Düzgün, peşakar və nizam-intizamlı olmaq, işdə özünü ləyaqətli aparmaq, başqalarını intizam qaydalarını pozmaqdan çəkindirməsi;Rəhbərliyin verdiyi tapşırıqların yerinə yetirilməsi.Tələblər:Azərbaycan dilində səlis danışıq qabiliyyətiKreativlik, analitik bacarıqAktiv və çalışqanMəqsədyönlü və işinə məsuliyyətli yanaşanKollektivlə işləmə bacarığıİş qrafiki:İş vaxtı: Həftə içi 5 gün 09:00–dan 18:00 dəkƏ/h – 500 AZNÜnvan: Ələsgər Qayıbov 12/22CV-nizi hr@mapletrading.aze-mail adresinin mövzu hissəsində “Satınalmalar üzrə kiçik mütəxəssis” yazaraq müraciət edə bilərsiniz.Əlaqə nömrəsi:0102251245Uyğun başlıqlarSatınalmaSatınalma mütəxəssisi",https://www.offer.az/satinalmalar-uzre-kicik-mutexessis-2-vakansiya-2025-60649/,15/01/2025,23/02/2025
Videoqraf,AzəriMed QSC,Bakı,800 — 1001 ₼,1 il,20 — 35,Orta və ya orta ixtisas təhsili,Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m5xg1gvsTələblər:∙ Texniki peşə və ya ali təhsil (dizayn, vizual kommunikasiya və kinematoqrafiya üzrə təhsil arzuolunandır);∙ Reklam roliki, promo videolar hazırlama tәcrübәsi;∙ Yenilikləri tətbiq etmək bacarığı;∙ Adobe Premier Pro, Adobe After Effects və s. video montaj proqramlarında işləmək bacarığı;∙ Məsuliyyətli və kollektivə uyğun olmalı;∙ Portfolio göndərilməsi mütləqdir.Vəzifə öhdəlikləri:∙ Şirkətin sosial şəbəkə hesabları üçün foto və video materialların çəkilişinin həyata keçirilməsi;∙ Şirkətin vizual və rəqəmsal kontentinin yaradılmasında iştirak etmək;∙ Təqdim olunan material və kontentlər əsasında şirkətin marketinq strategiyasına uyğun video çəkilişləri həyata keçirmək;∙ Video materialların, reklam və sosial çarxların montaj prossesini həyata keçirmək;∙ Videoların hazırlanması üçün vacib olan kompüter dəstəkli proqramlardan düzgün şəkildə istifadə etmək;∙ Şirkətin təşkil etdiyi müxtəlif tədbirlərin video çəkilişlərini standartlara uyğun şəkildə həyata keçirmək;∙ Trendləri izləmək və yenilikləri tətbiq etmək;∙ Müəllif hüquqlarının qorunmasına nəzarət etmək;∙ Tapşırılan işlərin vaxtında, keyfiyyətli həll olunmasını təmin etmək.İş şəraiti:İş qrafiki: Tam iş günüƏmək haqqı: Başlanğıc 800-1000 (Gross) Artan əmək haqqıTələblər:·Texniki peşə və ya ali (dizayn, vizual kommunikasiya və kinematoqrafiya üzrə təhsil arzuolunandır);Reklam roliki, promo videolar hazırlama tәcrübәsi;·Yenilikləri tətbiq etmək bacarığı;Adobe Premier Pro, Adobe After Effects və s. video montaj proqramlarında işləmək bacarığı;Məsuliyyətli və kollektivə uyğun olmalı;Portfolio göndərilməsi mütləqdir.Uyğun başlıqlarVideoqraf",https://www.offer.az/videoqraf-26-vakansiya-2025-60648/,15/01/2025,15/02/2025
Texniki ekspertiza şöbəsinin mütəxəssisi,Ateshgah Sigorta,Bakı,Müsahibə əsasında,3 il,22 — 35,"Natamam ali təhsil (bakalavr), Orta və ya orta ixtisas təhsili",Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m5xg4nog46TəsvirSığorta hadisələri zamanı dəymiş zərərin (dəymiş zərərlərin əmlak, nəqliyyat, texnika və s.) qiymətləndirilməsiSığorta qaydaları haqqında müştərilərin məlumatlandırılmasıQiymətləndirmə ilə əlaqədar müştərilərlə yarana biləcək sualların cavablandırılması, müştərilərin qəbuluİşlədiyi şöbənin fəaliyyəti ilə bağlı bilavasitə öz rəhbərinin xidməti tapşırıqlarını yerinə yetirməkTələblərYaş: 23-35Təhsil: Aliİş təcrübəsi: Qiymətləndirmə sahəsində 3 ilə qədərDil bilikləri: Azərbaycan (əla), Rus (əla), İngilis dili (arzuolunandır)Müxtəlif düşüncə və dünya görüşünə malik olan insanlarla ünsiyyət qurmaq bacarığıFikrini dəqiq, lokanik və özünə əminliklə təqdim etmə bacarığıYeni bilik və bacarıqları özündə inkişaf etdirmək həvəsiUyğun başlıqlarEkspertizaNəqliyyatSığorta",https://www.offer.az/texniki-ekspertiza-2-vakansiya-2025-60647/,15/01/2025,16/02/2025
Parfümeriya üzrə satış təmsilçisi,AzəriMed QSC,Bakı,Müsahibə əsasında,1 il,20 — 35,"Natamam ali təhsil (bakalavr), Orta və ya orta ixtisas təhsili",Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,https://qlor.me/m5xgjyqkn4]TəsvirVəzifə öhdəlikləri:Məhsullar barədə müştərilərə ətraflı məlumatın verilməsi;Müştərilərə məhsul seçimində köməklik göstərilməsi;Yeni malların qəbulu və yerləşdirilməsi;Sifarişin dəqiq və vaxtında yerinə yetirilməsi.İş şəraiti:İş qrafiki:09:00-18:00; 10:00-19:00; 11:00-20:00Əmək haqqı:400 + Bonus sistemi mövcuddur.TələblərYaş: 20-35;Təcrübə: Satış sahəsində minimum 1 il iş təcrübəsi;Dil bilikləri: Rus dili biliyi mütləqdir;Kompüter bilikləri: MS Office proqramlarında baza bilikləri;Yüksək səviyyədə satış bacarığı.Uyğun başlıqlarSatışSatış təmsilçisi,https://www.offer.az/parfumeriya-uzre-satis-temsilcisi-5-vakansiya-2025-60646/,15/01/2025,15/02/2025
